day,campaign,adgroup,impressions,clicks,cost
2024-07-01,native_ads_campaign,ad_group_d,11470,423,910.29
2024-07-02,native_ads_campaign,ad_group_c,63772,4079,815.79
2024-07-03,native_ads_campaign,ad_group_d,85866,1214,234.69
2024-07-04,native_ads_campaign,ad_group_c,45373,169,488.12
2024-07-05,native_ads_campaign,ad_group_d,50767,1098,377.0
2024-07-06,native_ads_campaign,ad_group_d,35890,1645,559.7
2024-07-07,native_ads_campaign,ad_group_c,77507,2145,754.13
2024-07-08,native_ads_campaign,ad_group_d,26725,999,41.38
2024-07-09,native_ads_campaign,ad_group_d,57328,4417,551.91
2024-07-10,native_ads_campaign,ad_group_c,87333,6412,223.75
2024-07-11,native_ads_campaign,ad_group_c,57780,1275,996.17
2024-07-12,native_ads_campaign,ad_group_d,97348,2486,374.18
2024-07-13,native_ads_campaign,ad_group_d,50380,1653,315.9
2024-07-14,native_ads_campaign,ad_group_d,95359,8708,580.43
2024-07-15,native_ads_campaign,ad_group_d,6857,190,855.99
2024-07-16,native_ads_campaign,ad_group_c,32804,972,741.15
2024-07-17,native_ads_campaign,ad_group_d,24008,2315,793.78
2024-07-18,native_ads_campaign,ad_group_d,71973,241,25.6
2024-07-19,native_ads_campaign,ad_group_c,33368,3099,787.53
2024-07-20,native_ads_campaign,ad_group_c,37782,1755,443.95
2024-07-21,native_ads_campaign,ad_group_d,57577,2683,348.29
2024-07-22,native_ads_campaign,ad_group_d,59101,1829,214.11
2024-07-23,native_ads_campaign,ad_group_d,14473,1272,344.79
2024-07-24,native_ads_campaign,ad_group_d,51871,1557,970.56
2024-07-25,native_ads_campaign,ad_group_d,82725,5589,265.24
2024-07-26,native_ads_campaign,ad_group_d,14401,713,20.12
2024-07-27,native_ads_campaign,ad_group_d,2044,151,315.1
2024-07-28,native_ads_campaign,ad_group_d,50819,1047,418.02
2024-07-29,native_ads_campaign,ad_group_c,64078,283,945.89
2024-07-30,native_ads_campaign,ad_group_d,74086,155,995.48
2024-07-31,native_ads_campaign,ad_group_c,61096,4893,117.66
2024-08-01,native_ads_campaign,ad_group_c,65345,2419,535.37
2024-08-02,native_ads_campaign,ad_group_d,60090,3162,426.19
2024-08-03,native_ads_campaign,ad_group_c,76605,3135,465.21
2024-08-04,native_ads_campaign,ad_group_d,96259,4961,114.61
2024-08-05,native_ads_campaign,ad_group_d,21334,1283,227.14
2024-08-06,native_ads_campaign,ad_group_c,77291,4149,552.08
2024-08-07,native_ads_campaign,ad_group_d,76993,1304,814.7
2024-08-08,native_ads_campaign,ad_group_d,12678,444,438.17
2024-08-09,native_ads_campaign,ad_group_d,70806,3971,15.65
