day,utm_source,utm_medium,utm_campaign,utm_content,Total users,First time purchasers,New users,Bounce rate,Sessions,Engaged sessions,Purchase revenue,Purchases
2024-07-01,google,ppc,search_campaign,ad_group_b,180,45,21,59.12,226,170,989.75,6
2024-07-01,yahoo,ppc,native_ads_campaign,ad_group_d,423,9,178,75.8,602,561,3764.87,12
2024-07-01,facebook,social,engagement_campaign,ad_group_e,59,12,11,50.89,117,93,2309.28,7
2024-07-01,criteo,display,retargeting_campaign,ad_group_h,259,45,30,66.11,401,242,4604.78,77
2024-07-02,google,ppc,search_campaign,ad_group_a,167,17,15,76.14,219,209,3151.02,31
2024-07-02,yahoo,ppc,native_ads_campaign,ad_group_c,464,111,18,33.74,498,434,1664.7,118
2024-07-02,facebook,social,engagement_campaign,ad_group_e,447,81,99,72.56,581,499,3287.3,145
2024-07-02,criteo,display,retargeting_campaign,ad_group_g,57,5,16,42.23,73,48,3475.23,6
2024-07-03,google,ppc,search_campaign,ad_group_a,465,72,128,26.28,909,489,4403.17,23
2024-07-03,yahoo,ppc,native_ads_campaign,ad_group_d,177,21,36,26.01,203,141,1991.59,9
2024-07-03,facebook,social,engagement_campaign,ad_group_e,476,64,214,33.09,504,298,705.96,13
2024-07-03,criteo,display,retargeting_campaign,ad_group_h,483,95,63,27.86,836,674,1694.77,143
2024-07-04,google,ppc,search_campaign,ad_group_b,235,32,86,63.09,249,196,2088.34,11
2024-07-04,yahoo,ppc,native_ads_campaign,ad_group_c,113,18,19,42.43,178,172,3939.25,24
2024-07-04,facebook,social,engagement_campaign,ad_group_e,117,27,58,38.61,129,98,915.57,25
2024-07-04,criteo,display,retargeting_campaign,ad_group_g,60,10,23,56.31,105,64,4573.23,14
2024-07-05,google,ppc,search_campaign,ad_group_a,360,49,50,24.45,379,371,3475.41,95
2024-07-05,yahoo,ppc,native_ads_campaign,ad_group_c,493,62,66,77.22,619,560,1628.52,122
2024-07-05,facebook,social,engagement_campaign,ad_group_f,247,39,75,37.81,491,253,1614.89,25
2024-07-05,criteo,display,retargeting_campaign,ad_group_g,445,31,180,44.32,742,658,2025.04,62
2024-07-06,google,ppc,search_campaign,ad_group_b,437,25,52,20.92,698,695,3150.74,32
2024-07-06,yahoo,ppc,native_ads_campaign,ad_group_d,452,35,108,73.4,556,526,122.63,50
2024-07-06,facebook,social,engagement_campaign,ad_group_e,473,101,231,65.55,616,608,1870.06,191
2024-07-06,criteo,display,retargeting_campaign,ad_group_h,461,99,132,41.03,753,524,1287.13,84
2024-07-07,google,ppc,search_campaign,ad_group_a,215,47,69,34.27,356,203,286.95,23
2024-07-07,yahoo,ppc,native_ads_campaign,ad_group_c,441,106,119,70.66,831,644,780.3,150
2024-07-07,facebook,social,engagement_campaign,ad_group_f,313,67,100,79.75,464,357,4341.02,79
2024-07-07,criteo,display,retargeting_campaign,ad_group_g,232,14,47,23.31,238,159,4296.04,6
2024-07-08,google,ppc,search_campaign,ad_group_a,182,35,63,29.12,359,350,4853.26,40
2024-07-08,yahoo,ppc,native_ads_campaign,ad_group_c,265,9,80,42.17,319,169,3735.53,7
2024-07-08,facebook,social,engagement_campaign,ad_group_e,473,26,233,51.81,694,427,4107.59,33
