tab_code,表章項目,cat01_code,男女別,cat02_code,人口,cat03_code,年齢5歳階級,area_code,全国,time_code,時間軸（月）,unit,value,annotation
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2020001010,2020年10月,千人,126146,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2020001111,2020年11月,千人,126106,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2020001212,2020年12月,千人,126088,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2021000101,2021年1月,千人,126068,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2021000202,2021年2月,千人,125990,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2021000303,2021年3月,千人,125917,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2021000404,2021年4月,千人,125855,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2021000505,2021年5月,千人,125777,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2021000606,2021年6月,千人,125722,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2021000707,2021年7月,千人,125682,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2021000808,2021年8月,千人,125633,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2021000909,2021年9月,千人,125559,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2021001010,2021年10月,千人,125502,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2021001111,2021年11月,千人,125443,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2021001212,2021年12月,千人,125380,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2022000101,2022年1月,千人,125309,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2022000202,2022年2月,千人,125194,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2022000303,2022年3月,千人,125103,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2022000404,2022年4月,千人,125071,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2022000505,2022年5月,千人,125072,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2022000606,2022年6月,千人,125104,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2022000707,2022年7月,千人,125125,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2022000808,2022年8月,千人,125082,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2022000909,2022年9月,千人,124971,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2022001010,2022年10月,千人,124947,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2022001111,2022年11月,千人,124913,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2022001212,2022年12月,千人,124861,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2023000101,2023年1月,千人,124752,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2023000202,2023年2月,千人,124631,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2023000303,2023年3月,千人,124567,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2023000404,2023年4月,千人,124554,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2023000505,2023年5月,千人,124477,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2023000606,2023年6月,千人,124511,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2023000707,2023年7月,千人,124517,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2023000808,2023年8月,千人,124439,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2023000909,2023年9月,千人,124348,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2023001010,2023年10月,千人,124352,
1,人口,0,男女計,1,総人口,1001,0～4歳,0,全国,2020001010,2020年10月,千人,4541,
1,人口,0,男女計,1,総人口,1001,0～4歳,0,全国,2020001111,2020年11月,千人,4530,
1,人口,0,男女計,1,総人口,1001,0～4歳,0,全国,2020001212,2020年12月,千人,4518,
1,人口,0,男女計,1,総人口,1001,0～4歳,0,全国,2021000101,2021年1月,千人,4503,
1,人口,0,男女計,1,総人口,1001,0～4歳,0,全国,2021000202,2021年2月,千人,4484,
1,人口,0,男女計,1,総人口,1001,0～4歳,0,全国,2021000303,2021年3月,千人,4466,
1,人口,0,男女計,1,総人口,1001,0～4歳,0,全国,2021000404,2021年4月,千人,4453,
1,人口,0,男女計,1,総人口,1001,0～4歳,0,全国,2021000505,2021年5月,千人,4444,
