tab_code,表章項目,cat01_code,男女別,cat02_code,人口,cat03_code,年齢5歳階級,area_code,全国,time_code,時間軸（月）,unit,value,annotation
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2010001010,2010年10月,千人,128057,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2010001111,2010年11月,千人,128063,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2010001212,2010年12月,千人,128052,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2011000101,2011年1月,千人,128020,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2011000202,2011年2月,千人,127982,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2011000303,2011年3月,千人,127930,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2011000404,2011年4月,千人,127708,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2011000505,2011年5月,千人,127743,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2011000606,2011年6月,千人,127799,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2011000707,2011年7月,千人,127817,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2011000808,2011年8月,千人,127816,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2011000909,2011年9月,千人,127769,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2011001010,2011年10月,千人,127799,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2011001111,2011年11月,千人,127800,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2011001212,2011年12月,千人,127787,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2012000101,2012年1月,千人,127662,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2012000202,2012年2月,千人,127627,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2012000303,2012年3月,千人,127575,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2012000404,2012年4月,千人,127567,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2012000505,2012年5月,千人,127522,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2012000606,2012年6月,千人,127547,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2012000707,2012年7月,千人,127561,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2012000808,2012年8月,千人,127554,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2012000909,2012年9月,千人,127487,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2012001010,2012年10月,千人,127515,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2012001111,2012年11月,千人,127512,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2012001212,2012年12月,千人,127492,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2013000101,2013年1月,千人,127445,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2013000202,2013年2月,千人,127412,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2013000303,2013年3月,千人,127337,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2013000404,2013年4月,千人,127354,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2013000505,2013年5月,千人,127310,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2013000606,2013年6月,千人,127325,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2013000707,2013年7月,千人,127339,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2013000808,2013年8月,千人,127336,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2013000909,2013年9月,千人,127263,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2013001010,2013年10月,千人,127298,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2013001111,2013年11月,千人,127295,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2013001212,2013年12月,千人,127277,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2014000101,2014年1月,千人,127235,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2014000202,2014年2月,千人,127187,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2014000303,2014年3月,千人,127136,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2014000404,2014年4月,千人,127136,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2014000505,2014年5月,千人,127098,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2014000606,2014年6月,千人,127113,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2014000707,2014年7月,千人,127132,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2014000808,2014年8月,千人,127122,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2014000909,2014年9月,千人,127046,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2014001010,2014年10月,千人,127083,
1,人口,0,男女計,1,総人口,1000,総数,0,全国,2014001111,2014年11月,千人,127082,
